name,type,group,province,city,address,latitude,longitude,beds,practiceNumber,switchhouse,phone,email,ideal_clinic_score,source
Central Clinic (Port Elizabeth),clinic,Public,EC,Port Elizabeth,6 Rose Street Central,-33.96447,25.61332,600,,,,centralclinicschn@mandelametro.gov.za,85,ndoh_detailed
Chatty Clinic,clinic,Public,EC,,Daily Sear Street Chatty,-33.87327,25.49539,,,,,chattyclinicrec@mandelametro.gov.za,69,ndoh_detailed
Chris Hani Clinic,clinic,Public,EC,Johannesburg,Nompemelelo Location Nompumelelo Location,-32.95468,27.92511,800,,,,NONE,32,ndoh_detailed
Cimezile Clinic,clinic,Public,EC,,Whittlesea,-32.27401,26.62353,,,,,NONE,88,ndoh_detailed
Civic Centre Clinic (Mthatha),clinic,Public,EC,,N2 MTHATHA,-31.58265,28.78992,,,,,None,77,ndoh_detailed
Clarkebury Clinic,clinic,Public,EC,,R61 FROM NGCOBO TO MTHATHA 30KM CLARKEBURY TURN CL,-31.79195,28.28795,,,,,NONE,71,ndoh_detailed
Clarkson Clinic,clinic,Public,EC,,Skool Street Clarkson 0,-34.01042,24.29446,,,,,NONE,65,ndoh_detailed
Clicks Pharmacy Aliwal North,clinic,Independent,EC,,32 Somerset street,,,,,,,,,dsfsi_vacc
Clicks Pharmacy BT Ngebs Mall,clinic,Independent,EC,,"BT Ngebs Shopping Centre , Shop 133 BT Ngebs Mall, 2nd Avenue, Mthatha Central",,,,,,,,,dsfsi_vacc
Clicks Pharmacy Beacon Bay,clinic,Independent,EC,East London,"Shop 26, Beacon Bay Shopping Centre, Bonza Bay Road, Beacon Bay",,,,,,,,,dsfsi_vacc
Clicks Pharmacy Cleary Park,clinic,Independent,EC,,"Shop 5 Cleary Park Centre, Standford Road, Cleary Park, Bethelsdorp",,,,,,,,,dsfsi_vacc
Clicks Pharmacy Gonubie,clinic,Independent,EC,East London,"Shop 2 Kings Mall, C/O Mains Road and Gill Road, Gonubie",,,,,,,,,dsfsi_vacc
Clicks Pharmacy Graaff-Reinet,clinic,Independent,EC,,21 Caledon Street,,,,,,,,,dsfsi_vacc
Clicks Pharmacy Grahamstown,clinic,Independent,EC,,42 High Street,,,,,,,,,dsfsi_vacc
Clicks Pharmacy Hemmingways,clinic,Independent,EC,East London,"Shop UG10 Hemmingways Mall 2, C/O West Services Ave and 2 Rivers Road, East London",,,,,,,,,dsfsi_vacc
Clicks Pharmacy Humewood,clinic,Independent,EC,,Humeway Centre Humewood Road,,,,,,,,,dsfsi_vacc
Clicks Pharmacy Jeffreys Bay,clinic,Independent,EC,,"C/O De Gamma and Noord Se Kloof, Central, Jeffreys Bay",,,,,,,,,dsfsi_vacc
Clicks Pharmacy Kabega Park,clinic,Independent,EC,,"Shop 14, Metlife Plaza, Kabega Park",,,,,,,,,dsfsi_vacc
Clicks Pharmacy King Williams Town,clinic,Independent,EC,East London,"Shop 7 Metlife Mall, C/O Charles Smith Street and Cross Street, King Williamstown",,,,,,,,,dsfsi_vacc
Clicks Pharmacy Mdantsane,clinic,Independent,EC,East London,Cnr Qumza & Billie Roads,,,,,,,,,dsfsi_vacc
Clicks Pharmacy Penford,clinic,Independent,EC,,Cnr Graaff-reinet Road & Gibson Street,,,,,,,,,dsfsi_vacc
Clicks Pharmacy Pier 14,clinic,Independent,EC,,Pier 14 444 Govan Mbeki Avenue,,,,,,,,,dsfsi_vacc
Clicks Pharmacy Vincent Park,clinic,Independent,EC,East London,Devereux Avenue,,,,,,,,,dsfsi_vacc
Clicks Pharmacy Walmer Park,clinic,Independent,EC,,"Shop 46, Walmer Park Centre, Main Road, Walmer",,,,,,,,,dsfsi_vacc
Coega Satellite Clinic,clinic,Public,EC,,,-33.7567,25.6579,,,,,,,who_mfl
Coldstream Satellite Clinic,clinic,Public,EC,,,-33.9618,23.7008,,,,,,,who_mfl
Colesberg Town Clinic,clinic,Public,EC,,,-30.7081,25.1012,,,,,,,who_mfl
Collondale Satellite Clinic,clinic,Public,EC,,,-33.0397,27.8188,,,,,,,who_mfl
Cumakala 1 Clinic,clinic,Public,EC,,Mlungisa location Stutterheim,-32.5572,27.4475,,,,,None,91,ndoh_detailed
Cumakala 2 Clinic,clinic,Public,EC,,1192 Mlungisi Street Stutterheim,-32.5629,27.4487,,,,,NONE,70,ndoh_detailed
Cumakala Satellite Clinic,clinic,Public,EC,,,-31.6481,27.2246,,,,,,,who_mfl
Cwecweni Clinic,clinic,Public,EC,,None,-31.93675,28.05578,,,,,NONE,63,ndoh_detailed
Cwele Clinic,clinic,Public,EC,,LIBODE,-31.67205,29.21289,,,,,NONE,55,ndoh_detailed
Cwili Clinic,clinic,Public,EC,,955 Zamaklyumle Street Kei Mouth,-32.677,28.3635,,,,,None,64,ndoh_detailed
Daliwe Clinic,clinic,Public,EC,,Mbindimi Cathcart,-32.3018,27.1517,,,,,NONE,88,ndoh_detailed
Daliwonga Clinic,clinic,Public,EC,,KWA MPISI BIZANA,-31.1035,29.9043,,,,,None,74,ndoh_detailed
Debe Nek Clinic,clinic,Public,EC,,Debe Nek,-32.8458,27.1379,,,,,NONE,60,ndoh_detailed
Didimana Clinic,clinic,Public,EC,,Lower Didimana Whittlesea,-32.17582,26.81859,,,,,NONE,45,ndoh_detailed
Dis-Chem Baywest Mall Pharmacy,clinic,Independent,EC,,"Shop LG05, Baywest Mall, 100 Baywest Boulevard, Hunters Treat, Port Elizabeth, 6017. E.Cape",,,,,,,,,dsfsi_vacc
Dlukulu Clinic,clinic,Public,EC,,Sani Street Extension 7 Grahamstown,-33.27898,26.5777,,,,,NONE,51,ndoh_detailed
Donnington Clinic,clinic,Public,EC,,Bisho,-32.7237,27.4258,,,,,NONE,60,ndoh_detailed
Dordrecht Clinic,clinic,Public,EC,"Dordrecht, Chris Hani District Municipality",1 Klip Sreet Dordrecht Dordrecht,-31.37484,27.04622,35,,,+27 45 943 1195,NONE,53,ndoh_detailed
Double Falls Clinic,clinic,Public,EC,,NYQUNGWENI A/A LIBODE,-31.37392,29.12298,,,,,NONE,64,ndoh_detailed
Drake Road Clinic,clinic,Public,EC,,Drake Road Nahoon East London East London,-32.98575,27.92911,,,,,None,28,ndoh_detailed
Dundee Clinic,clinic,Public,EC,"Dundee,KwazuluNatal",Dundee location,-30.747,29.4244,288,,,Tel: (034) 212 1111,None,85,ndoh_detailed
Dungu Clinic,clinic,Public,EC,,"Dungu Clinic, Tabankulu",-31.2229,29.2063,,,,,None,53,ndoh_detailed
Durban Street Pharmacy,clinic,,EC,,"86 Durban St, Uitenhage, Kariega, 6229",,,,,,,,,dsfsi_vacc
Edamini Clinic,clinic,Public,EC,,20 First Avenue Khayelitsha Kwanobuhle,-33.83273,25.38563,,,,,edameniclinicsisterincharge@mandelametro.gov.za,83,ndoh_detailed
Efata Clinic,clinic,Public,EC,,On R61 From Mthatha To Ncobo - Right Turn To Efata,-31.56973,28.7242,,,,,NONE,71,ndoh_detailed
Ekuphumleni Clinic,clinic,Public,EC,,Whittlesea,-32.17816,26.78186,,,,,NONE,85,ndoh_detailed
Ekuphumleni Satellite Clinic Nelson Mandela Bay,clinic,Public,EC,,,-33.8545,25.2903,,,,,,,who_mfl
Elizabeth's Gateway Clinic,clinic,Public,EC,,Next to The Hospital In Lusiksiki,-31.35999,29.56554,272,,,,None,64,ndoh_detailed
Elliot Clinic,clinic,Public,EC,Elliot,Church Street Elliot Elliot,-31.33334,27.84951,52,,,,None,62,ndoh_detailed
Elucwecwe Clinic,clinic,Public,EC,,ELUCWECWE A/A NGCOBO,-31.73546,27.88061,,,,,NONE,69,ndoh_detailed
Eluhewini Clinic,clinic,Public,EC,,Clarkebury Turn 10km Away From Ngcobo,-31.70561,28.12656,,,,,NONE,45,ndoh_detailed
Elukholweni Clinic,clinic,Public,EC,,Matatiyele,-30.6292,28.8521,,,,,None,66,ndoh_detailed
Eluxolweni Clinic,clinic,Public,EC,,Eloxolweni Clinic 5930,-31.64334,25.8052,,,,,NONE,73,ndoh_detailed
Empilisweni Clinic,clinic,Public,EC,"Sterkspruit, Eastern Cape",BOKEJK OLD LOCATION,-31.20131,28.23756,93,,,+27 51 611 0037; +27 51 611 0039,NONE,57,ndoh_detailed
Endermologie Clinic,clinic,,EC,,Main Road,-33.9819809,25.5680052,,,,+27 41 581 5496,,,osm
Engojini Clinic,clinic,Public,EC,,Whittlesea,-32.22396,26.75389,,,,,NONE,69,ndoh_detailed
Esilindini Clinic,clinic,Public,EC,,ESILINDINI CLINIC STERKSPRUIT,-30.54393,27.33018,,,,,NONE,52,ndoh_detailed
Ethembeni Clinic,clinic,Public,EC,,King Williams Town,-32.7628,27.4318,,,,,NONE,95,ndoh_detailed
Eureka Clinic,clinic,Public,EC,,ANGELIER STREET BURGERSDORP,-31.00732,26.31765,,,,,NONE,47,ndoh_detailed
Ezibeleni Clinic,clinic,Public,EC,,Ndono Ezibeleni,-31.90803,26.95646,,,,,NONE,88,ndoh_detailed
Ezingcuka Clinic,clinic,Public,EC,,ZINGCUKA A/A TSOLO,-31.30059,28.65825,,,,,None,70,ndoh_detailed
Fezeka NU 3 Clinic,clinic,Public,EC,,NU 3 Mdantsane,-32.93177,27.75311,,,,,None,64,ndoh_detailed
Fish River Clinic,clinic,Public,EC,,Fish river Station Fish River Shop,-31.91191,25.41599,,,,,NONE,61,ndoh_detailed
